Date,Team,Opponent, Score,Opponent Score,Home,Playoff Game?, Odds Open, Line Open,Win %,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense,Opponent Win %,Opponent Total DVOA Rank,Opponent Total DVOA,Opponent Weighted DVOA Rank,Opponent Weighted DVOA,Opponent Offense DVOA Rank,Opponent Offense DVOA,Opponent Offense Weighted DVOA Rank,Opponent Offense Weighted DVOA,Opponent Defense DVOA Rank,Opponent Defense DVOA,Opponent Defense Weighted DVOA Rank,Opponent Defense Weighted DVOA,Opponent Special Teams DVOA Rank,Opponent Special Teams DVOA,Opponent Special Teams Weighted DVOA Rank,Opponent Special Teams Weighted DVOA,Opponent OffenseDVOA Rank,Opponent OffenseDVOA,Opponent Offense WeightedDVOA Rank,Opponent Offense WeightedDVOA,Opponent PassOffense Rank,Opponent PassOffense,Opponent RushOffense Rank,Opponent RushOffense,Opponent DefenseDVOA Rank,Opponent DefenseDVOA,Opponent Defense WeightedDVOA Rank,Opponent Defense WeightedDVOA,Opponent PassDefense Rank,Opponent PassDefense,Opponent RushDefense Rank,Opponent RushDefense,Wins,Losses,Ties,Opponent Wins,Opponent Losses,Opponent Ties
2017 Playoffs,KC,TEN,21,22,,Y,1.31,-7.5,0.625,10,0.109,16,0.02,4,0.164,7,0.105,29,0.108,32,0.142,4,0.054,5,0.057,4,0.164,7,0.105,6,0.337,4,0.033,29,0.108,32,0.142,25,0.223,29,-0.037,0.5625,18,-0.062,19,-0.094,18,-0.021,21,-0.073,23,0.057,19,0.034,13,0.016,15,0.013,18,-0.021,21,-0.073,19,0.053,9,-0.023,23,5.7,19,0.034,22,19.7,7,-0.167,10,6,,9,7,
2017 Playoffs,PHI,NE,41,33,,Y,3.1,6,0.8125,5,0.237,6,0.234,7,0.105,8,0.085,5,-0.122,3,-0.156,16,0.009,18,-0.007,7,0.105,8,0.085,4,0.354,18,-0.107,5,-0.122,3,-0.156,8,-0.038,1,-0.277,0.8125,6,0.222,3,0.302,1,0.279,1,0.279,31,0.12,23,0.059,3,0.063,2,0.082,1,0.279,1,0.279,1,0.457,2,0.129,31,12,23,0.059,23,20.6,30,-0.016,13,3,,13,3,
2017 Playoffs,MIN,PHI,7,38,,Y,1.59,-3.5,0.8125,2,0.288,2,0.323,5,0.125,6,0.117,1,-0.172,1,-0.219,18,-0.009,19,-0.014,5,0.125,6,0.117,3,0.383,17,-0.107,1,-0.172,1,-0.219,2,-0.158,5,-0.194,0.8125,5,0.237,6,0.234,7,0.105,8,0.085,5,-0.122,3,-0.156,16,0.009,18,-0.007,7,0.105,8,0.085,4,0.354,18,-0.107,5,-12.2,3,-0.156,8,-3.8,1,-0.277,13,3,,13,3,
2017 Playoffs,JAX,NE,20,24,,Y,4.46,9.5,0.625,8,0.138,11,0.128,15,0.004,18,-0.002,2,-0.16,4,-0.136,24,-0.025,17,-0.006,15,0.004,18,-0.002,15,0.152,12,-0.066,2,-0.16,4,-0.136,1,-0.239,25,-0.055,0.8125,6,0.222,3,0.302,1,0.279,1,0.279,31,0.12,23,0.059,3,0.063,2,0.082,1,0.279,1,0.279,1,0.457,2,0.129,31,12,23,0.059,23,20.6,30,-0.016,10,6,,13,3,
2017 Playoffs,NO,MIN,24,29,,Y,2.7,3.5,0.6875,1,0.35,1,0.373,2,0.224,2,0.208,6,-0.114,5,-0.132,15,0.012,11,0.033,2,0.224,2,0.208,7,0.332,1,0.135,6,-0.114,5,-0.132,5,-0.108,14,-0.122,0.8125,2,0.288,2,0.323,5,0.125,6,0.117,1,-0.172,1,-0.219,18,-0.009,19,-0.014,5,0.125,6,0.117,3,0.383,17,-0.107,1,-17.2,1,-0.219,2,-15.8,5,-0.194,11,5,,13,3,
2017 Playoffs,JAX,PIT,45,42,,Y,3.77,7.5,0.625,8,0.138,11,0.128,15,0.004,18,-0.002,2,-0.16,4,-0.136,24,-0.025,17,-0.006,15,0.004,18,-0.002,15,0.152,12,-0.066,2,-0.16,4,-0.136,1,-0.239,25,-0.055,0.8125,4,0.259,5,0.249,3,0.175,3,0.186,9,-0.054,15,-0.004,9,0.031,4,0.059,3,0.175,3,0.186,5,0.338,6,0.024,9,-5.4,15,-0.004,9,-3.6,21,-0.078,10,6,,13,3,
2017 Playoffs,TEN,NE,14,35,,Y,7.44,13.5,0.5625,18,-0.062,19,-0.094,18,-0.021,21,-0.073,23,0.057,19,0.034,13,0.016,15,0.013,18,-0.021,21,-0.073,19,0.053,9,-0.023,23,0.057,19,0.034,22,0.197,7,-0.167,0.8125,6,0.222,3,0.302,1,0.279,1,0.279,31,0.12,23,0.059,3,0.063,2,0.082,1,0.279,1,0.279,1,0.457,2,0.129,31,12,23,0.059,23,20.6,30,-0.016,9,7,,13,3,
2017 Playoffs,ATL,PHI,10,15,,Y,1.7,-2.5,0.625,14,0.05,12,0.049,9,0.085,10,0.061,17,0.023,14,-0.011,19,-0.012,22,-0.024,9,0.085,10,0.061,9,0.294,14,-0.089,17,0.023,14,-0.011,19,0.137,11,-0.143,0.8125,5,0.237,6,0.234,7,0.105,8,0.085,5,-0.122,3,-0.156,16,0.009,18,-0.007,7,0.105,8,0.085,4,0.354,18,-0.107,5,-12.2,3,-0.156,8,-3.8,1,-0.277,10,6,,13,3,
2017 Playoffs,CAR,NO,26,31,,Y,3.16,6,0.6875,9,0.126,9,0.134,17,-0.001,15,0.022,8,-0.08,9,-0.056,6,0.047,6,0.057,17,-0.001,15,0.022,17,0.11,11,-0.062,8,-0.08,9,-0.056,11,-0.018,6,-0.193,0.6875,1,0.35,1,0.373,2,0.224,2,0.208,6,-0.114,5,-0.132,15,0.012,11,0.033,2,0.224,2,0.208,7,0.332,1,0.135,6,-11.4,5,-0.132,5,-10.8,14,-0.122,11,5,,11,5,
2017 Playoffs,BUF,JAX,3,10,,Y,4.01,7.5,0.5625,22,-0.107,27,-0.172,26,-0.111,28,-0.136,18,0.025,25,0.067,10,0.029,12,0.031,26,-0.111,28,-0.136,26,-0.031,20,-0.147,18,0.025,25,0.067,12,0.039,32,0.007,0.625,8,0.138,11,0.128,15,0.004,18,-0.002,2,-0.16,4,-0.136,24,-0.025,17,-0.006,15,0.004,18,-0.002,15,0.152,12,-0.066,2,-16,4,-0.136,1,-23.9,25,-0.055,9,7,,10,6,
2017 Playoffs,ATL,LAR,26,13,,Y,3.05,6,0.625,14,0.05,12,0.049,9,0.085,10,0.061,17,0.023,14,-0.011,19,-0.012,22,-0.024,9,0.085,10,0.061,9,0.294,14,-0.089,17,0.023,14,-0.011,19,0.137,11,-0.143,0.6875,3,0.276,4,0.272,6,0.113,5,0.118,7,-0.095,7,-0.078,2,0.068,3,0.076,6,0.113,5,0.118,8,0.309,7,0.004,7,-9.5,7,-0.078,4,-11.3,23,-0.07,10,6,,11,5,
2017 Playoffs,TEN,KC,22,21,,Y,3.81,7.5,0.5625,18,-0.062,19,-0.094,18,-0.021,21,-0.073,23,0.057,19,0.034,13,0.016,15,0.013,18,-0.021,21,-0.073,19,0.053,9,-0.023,23,0.057,19,0.034,22,0.197,7,-0.167,0.625,10,0.109,16,0.02,4,0.164,7,0.105,29,0.108,32,0.142,4,0.054,5,0.057,4,0.164,7,0.105,6,0.337,4,0.033,29,10.8,32,0.142,25,22.3,29,-0.037,9,7,,10,6,
2017 Week 17,DEN,KC,24,27,,N,1.56,-3.5,0.333333333,29,-0.239,32,-0.334,31,-0.198,32,-0.267,10,-0.043,13,-0.015,32,-0.084,32,-0.082,31,-0.198,32,-0.267,31,-0.157,22,-0.158,10,-0.043,13,-0.015,17,0.129,3,-0.26,0.6,10,0.117,12,0.037,5,0.167,7,0.107,26,0.105,31,0.13,4,0.055,4,0.061,5,0.167,7,0.107,7,0.353,5,0.019,26,10.5,31,0.13,21,21.7,28,-0.038,5,10,,9,6,
2017 Week 17,LAC,OAK,30,10,,N,1.26,-9,0.533333333,13,0.045,10,0.109,9,0.086,8,0.096,11,-0.037,8,-0.07,31,-0.079,30,-0.057,9,0.086,8,0.096,6,0.358,18,-0.144,11,-0.037,8,-0.07,9,-0.04,29,-0.034,0.4,18,-0.078,19,-0.074,14,0.036,19,-0.017,28,0.107,17,0.037,18,-0.006,20,-0.021,14,0.036,19,-0.017,15,0.177,11,-0.027,28,10.7,17,0.037,28,26.5,19,-0.093,8,7,,6,9,
2017 Week 17,LAR,SF,13,34,,N,1.53,-6.5,0.733333333,1,0.362,1,0.397,4,0.167,4,0.2,5,-0.124,6,-0.121,2,0.071,2,0.077,4,0.167,4,0.2,2,0.404,9,0.01,5,-0.124,6,-0.121,4,-0.137,18,-0.107,0.333333333,26,-0.176,20,-0.112,21,-0.066,18,0.008,31,0.133,32,0.137,11,0.024,13,0.016,21,-0.066,18,0.008,17,0.093,20,-0.147,31,13.3,32,0.137,31,30.4,22,-0.073,11,4,,5,10,
2017 Week 17,SEA,ARI,24,26,,N,1.3,-7.5,0.6,15,0.015,14,0.021,17,0.019,11,0.042,13,-0.027,10,-0.027,23,-0.032,27,-0.048,17,0.019,11,0.042,11,0.276,31,-0.275,13,-0.027,10,-0.027,13,0.055,13,-0.133,0.466666667,19,-0.088,17,-0.026,29,-0.187,31,-0.182,4,-0.155,2,-0.192,29,-0.057,25,-0.036,29,-0.187,31,-0.182,27,-0.055,32,-0.307,4,-15.5,2,-0.192,6,-9.3,4,-0.249,9,6,,7,8,
2017 Week 17,ATL,CAR,22,10,,N,1.51,-3.5,0.6,14,0.03,13,0.032,8,0.094,10,0.08,21,0.046,16,0.021,21,-0.017,23,-0.028,8,0.094,10,0.08,9,0.289,14,-0.064,21,0.046,16,0.021,19,0.162,14,-0.124,0.733333333,9,0.16,9,0.176,12,0.038,9,0.083,8,-0.074,9,-0.034,6,0.049,5,0.06,12,0.038,9,0.083,16,0.144,10,-0.026,8,-7.4,9,-0.034,11,-2.3,8,-0.165,9,6,,11,4,
2017 Week 17,BAL,CIN,27,31,,N,1.23,-10,0.6,7,0.2,7,0.228,20,-0.039,16,0.016,2,-0.158,7,-0.114,1,0.081,1,0.099,20,-0.039,16,0.016,26,-0.03,6,0.019,2,-0.158,7,-0.114,3,-0.148,6,-0.172,0.4,25,-0.172,23,-0.146,25,-0.105,21,-0.037,22,0.058,27,0.095,19,-0.009,19,-0.015,25,-0.105,21,-0.037,25,-0.025,19,-0.144,22,5.8,27,0.095,18,15.3,24,-0.056,9,6,,6,9,
2017 Week 17,DET,GB,35,11,,N,1.31,-7.5,0.533333333,12,0.05,15,-0.015,16,0.03,14,0.035,16,0.028,25,0.091,7,0.048,7,0.041,16,0.03,14,0.035,13,0.226,30,-0.249,16,0.028,25,0.091,15,0.084,25,-0.046,0.466666667,16,0.007,16,-0.021,13,0.036,17,0.014,20,0.045,21,0.06,13,0.017,12,0.025,13,0.036,17,0.014,18,0.089,4,0.03,20,4.5,21,0.06,23,23.3,7,-0.17,8,7,,7,8,
2017 Week 17,IND,HOU,22,13,,N,1.5,0,0.2,30,-0.268,26,-0.188,30,-0.192,26,-0.135,27,0.105,26,0.092,9,0.029,8,0.039,30,-0.192,26,-0.135,30,-0.105,26,-0.206,27,0.105,26,0.092,32,0.322,11,-0.143,0.266666667,24,-0.171,31,-0.297,24,-0.096,28,-0.143,17,0.031,28,0.099,26,-0.044,28,-0.055,24,-0.096,28,-0.143,22,0.045,23,-0.166,17,3.1,28,0.099,20,17.1,9,-0.156,3,12,,4,11,
2017 Week 17,MIA,BUF,16,22,,N,2.34,3,0.4,28,-0.218,27,-0.191,28,-0.147,27,-0.142,25,0.096,23,0.087,10,0.025,9,0.038,28,-0.147,27,-0.142,24,-0.016,29,-0.232,25,0.096,23,0.087,27,0.258,17,-0.116,0.533333333,21,-0.114,28,-0.193,26,-0.127,29,-0.168,15,0.018,20,0.059,8,0.031,10,0.035,26,-0.127,29,-0.168,28,-0.058,21,-0.148,15,1.8,20,0.059,12,3.2,31,0,6,9,,8,7,
2017 Week 17,MIN,CHI,23,10,,N,1.15,-12.5,0.8,3,0.277,3,0.303,7,0.117,6,0.111,1,-0.162,1,-0.194,16,-0.001,17,-0.001,7,0.117,6,0.111,4,0.382,17,-0.128,1,-0.162,1,-0.194,2,-0.155,5,-0.173,0.333333333,23,-0.164,21,-0.127,27,-0.14,25,-0.113,14,-0.012,14,-0.009,25,-0.036,21,-0.023,27,-0.14,25,-0.113,29,-0.094,15,-0.078,14,-1.2,14,-0.009,14,6.5,16,-0.116,12,3,,5,10,
2017 Week 17,NE,NYJ,26,6,,N,1.08,-16.5,0.8,6,0.214,4,0.295,1,0.288,1,0.299,32,0.134,22,0.079,3,0.059,3,0.074,1,0.288,1,0.299,1,0.474,2,0.128,32,0.134,22,0.079,22,0.218,32,0.004,0.333333333,27,-0.19,24,-0.147,23,-0.091,23,-0.064,23,0.071,18,0.042,22,-0.028,26,-0.041,23,-0.091,23,-0.064,21,0.053,24,-0.188,23,7.1,18,0.042,24,23.7,12,-0.139,12,3,,5,10,
2017 Week 17,NYG,WAS,18,10,,N,2.58,3.5,0.133333333,31,-0.278,30,-0.268,22,-0.089,24,-0.091,29,0.115,29,0.112,30,-0.074,31,-0.064,22,-0.089,24,-0.091,20,0.057,27,-0.224,29,0.115,29,0.112,25,0.242,26,-0.044,0.466666667,17,0.003,18,-0.035,18,0.003,20,-0.022,12,-0.032,12,-0.016,24,-0.032,24,-0.029,18,0.003,20,-0.022,12,0.234,28,-0.228,12,-3.2,12,-0.016,10,-2.7,27,-0.038,2,13,,7,8,
2017 Week 17,PHI,DAL,0,6,,N,2.4,0,0.866666667,5,0.26,6,0.267,6,0.128,5,0.123,6,-0.124,3,-0.152,15,0.009,18,-0.007,6,0.128,5,0.123,3,0.395,16,-0.103,6,-0.124,3,-0.152,8,-0.05,2,-0.266,0.533333333,11,0.075,11,0.079,10,0.058,13,0.036,18,0.035,15,0.011,5,0.053,6,0.054,10,0.058,13,0.036,19,0.089,3,0.071,18,3.5,15,0.011,16,11,20,-0.083,13,2,,8,7,
2017 Week 17,PIT,CLE,28,24,,N,1.11,-16,0.8,4,0.277,5,0.27,3,0.194,3,0.21,9,-0.064,11,-0.025,12,0.019,11,0.035,3,0.194,3,0.21,4,0.382,8,0.01,9,-0.064,11,-0.025,7,-0.066,23,-0.061,0,32,-0.305,29,-0.252,32,-0.215,30,-0.175,19,0.045,19,0.049,27,-0.045,22,-0.028,32,-0.215,30,-0.175,32,-0.272,12,-0.05,19,4.5,19,0.049,30,28.8,1,-0.27,12,3,,0,15,
2017 Week 17,TB,NO,31,24,,N,3.73,7.5,0.266666667,22,-0.134,25,-0.153,11,0.042,15,0.031,30,0.125,30,0.127,28,-0.05,29,-0.057,11,0.042,15,0.031,10,0.279,25,-0.196,30,0.125,30,0.127,29,0.287,21,-0.081,0.733333333,2,0.344,2,0.375,2,0.228,2,0.225,7,-0.119,4,-0.144,17,-0.004,16,0.007,2,0.228,2,0.225,8,0.332,1,0.141,7,-11.9,4,-0.144,5,-11.7,15,-0.123,4,11,,11,4,
2017 Week 17,TEN,JAX,15,10,,N,1.53,-6,0.533333333,20,-0.096,22,-0.127,19,-0.017,22,-0.048,24,0.091,24,0.088,14,0.013,15,0.009,19,-0.017,22,-0.048,23,0.033,7,0.014,24,0.091,24,0.088,26,0.243,10,-0.154,0.666666667,8,0.175,8,0.181,15,0.031,12,0.041,3,-0.157,5,-0.129,20,-0.013,14,0.011,15,0.031,12,0.041,14,0.203,13,-0.055,3,-15.7,5,-0.129,1,-25.5,30,-0.024,8,7,,10,5,
2017 Week 17,KC,DEN,27,24,,N,2.61,3.5,0.6,10,0.117,12,0.037,5,0.167,7,0.107,26,0.105,31,0.13,4,0.055,4,0.061,5,0.167,7,0.107,7,0.353,5,0.019,26,0.105,31,0.13,21,0.217,28,-0.038,0.333333333,29,-0.239,32,-0.334,31,-0.198,32,-0.267,10,-0.043,13,-0.015,32,-0.084,32,-0.082,31,-0.198,32,-0.267,31,-0.157,22,-0.158,10,-4.3,13,-0.015,17,12.9,3,-0.26,9,6,,5,10,
2017 Week 17,OAK,LAC,10,30,,N,4.3,9,0.4,18,-0.078,19,-0.074,14,0.036,19,-0.017,28,0.107,17,0.037,18,-0.006,20,-0.021,14,0.036,19,-0.017,15,0.177,11,-0.027,28,0.107,17,0.037,28,0.265,19,-0.093,0.533333333,13,0.045,10,0.109,9,0.086,8,0.096,11,-0.037,8,-0.07,31,-0.079,30,-0.057,9,0.086,8,0.096,6,0.358,18,-0.144,11,-3.7,8,-0.07,9,-4,29,-0.034,6,9,,8,7,
2017 Week 17,SF,LAR,34,13,,N,2.71,6.5,0.333333333,26,-0.176,20,-0.112,21,-0.066,18,0.008,31,0.133,32,0.137,11,0.024,13,0.016,21,-0.066,18,0.008,17,0.093,20,-0.147,31,0.133,32,0.137,31,0.304,22,-0.073,0.733333333,1,0.362,1,0.397,4,0.167,4,0.2,5,-0.124,6,-0.121,2,0.071,2,0.077,4,0.167,4,0.2,2,0.404,9,0.01,5,-12.4,6,-0.121,4,-13.7,18,-0.107,5,10,,11,4,
2017 Week 17,ARI,SEA,26,24,,N,3.93,7.5,0.466666667,19,-0.088,17,-0.026,29,-0.187,31,-0.182,4,-0.155,2,-0.192,29,-0.057,25,-0.036,29,-0.187,31,-0.182,27,-0.055,32,-0.307,4,-0.155,2,-0.192,6,-0.093,4,-0.249,0.6,15,0.015,14,0.021,17,0.019,11,0.042,13,-0.027,10,-0.027,23,-0.032,27,-0.048,17,0.019,11,0.042,11,0.276,31,-0.275,13,-2.7,10,-0.027,13,5.5,13,-0.133,7,8,,9,6,
2017 Week 17,CAR,ATL,10,22,,N,2.78,3.5,0.733333333,9,0.16,9,0.176,12,0.038,9,0.083,8,-0.074,9,-0.034,6,0.049,5,0.06,12,0.038,9,0.083,16,0.144,10,-0.026,8,-0.074,9,-0.034,11,-0.023,8,-0.165,0.6,14,0.03,13,0.032,8,0.094,10,0.08,21,0.046,16,0.021,21,-0.017,23,-0.028,8,0.094,10,0.08,9,0.289,14,-0.064,21,4.6,16,0.021,19,16.2,14,-0.124,11,4,,9,6,
2017 Week 17,CIN,BAL,31,27,,N,4.77,10,0.4,25,-0.172,23,-0.146,25,-0.105,21,-0.037,22,0.058,27,0.095,19,-0.009,19,-0.015,25,-0.105,21,-0.037,25,-0.025,19,-0.144,22,0.058,27,0.095,18,0.153,24,-0.056,0.6,7,0.2,7,0.228,20,-0.039,16,0.016,2,-0.158,7,-0.114,1,0.081,1,0.099,20,-0.039,16,0.016,26,-0.03,6,0.019,2,-15.8,7,-0.114,3,-14.8,6,-0.172,6,9,,9,6,
2017 Week 17,GB,DET,11,35,,N,3.85,7.5,0.466666667,16,0.007,16,-0.021,13,0.036,17,0.014,20,0.045,21,0.06,13,0.017,12,0.025,13,0.036,17,0.014,18,0.089,4,0.03,20,0.045,21,0.06,23,0.233,7,-0.17,0.533333333,12,0.05,15,-0.015,16,0.03,14,0.035,16,0.028,25,0.091,7,0.048,7,0.041,16,0.03,14,0.035,13,0.226,30,-0.249,16,2.8,25,0.091,15,8.4,25,-0.046,7,8,,8,7,
2017 Week 17,HOU,IND,13,22,,N,2.81,0,0.266666667,24,-0.171,31,-0.297,24,-0.096,28,-0.143,17,0.031,28,0.099,26,-0.044,28,-0.055,24,-0.096,28,-0.143,22,0.045,23,-0.166,17,0.031,28,0.099,20,0.171,9,-0.156,0.2,30,-0.268,26,-0.188,30,-0.192,26,-0.135,27,0.105,26,0.092,9,0.029,8,0.039,30,-0.192,26,-0.135,30,-0.105,26,-0.206,27,10.5,26,0.092,32,32.2,11,-0.143,4,11,,3,12,
2017 Week 17,BUF,MIA,22,16,,N,1.68,-3,0.533333333,21,-0.114,28,-0.193,26,-0.127,29,-0.168,15,0.018,20,0.059,8,0.031,10,0.035,26,-0.127,29,-0.168,28,-0.058,21,-0.148,15,0.018,20,0.059,12,0.032,31,0,0.4,28,-0.218,27,-0.191,28,-0.147,27,-0.142,25,0.096,23,0.087,10,0.025,9,0.038,28,-0.147,27,-0.142,24,-0.016,29,-0.232,25,9.6,23,0.087,27,25.8,17,-0.116,8,7,,6,9,
2017 Week 17,CHI,MIN,10,23,,N,6.52,12.5,0.333333333,23,-0.164,21,-0.127,27,-0.14,25,-0.113,14,-0.012,14,-0.009,25,-0.036,21,-0.023,27,-0.14,25,-0.113,29,-0.094,15,-0.078,14,-0.012,14,-0.009,14,0.065,16,-0.116,0.8,3,0.277,3,0.303,7,0.117,6,0.111,1,-0.162,1,-0.194,16,-0.001,17,-0.001,7,0.117,6,0.111,4,0.382,17,-0.128,1,-16.2,1,-0.194,2,-15.5,5,-0.173,5,10,,12,3,
2017 Week 17,NYJ,NE,6,26,,N,9.5,16.5,0.333333333,27,-0.19,24,-0.147,23,-0.091,23,-0.064,23,0.071,18,0.042,22,-0.028,26,-0.041,23,-0.091,23,-0.064,21,0.053,24,-0.188,23,0.071,18,0.042,24,0.237,12,-0.139,0.8,6,0.214,4,0.295,1,0.288,1,0.299,32,0.134,22,0.079,3,0.059,3,0.074,1,0.288,1,0.299,1,0.474,2,0.128,32,13.4,22,0.079,22,21.8,32,0.004,5,10,,12,3,
2017 Week 17,WAS,NYG,10,18,,N,1.57,-3.5,0.466666667,17,0.003,18,-0.035,18,0.003,20,-0.022,12,-0.032,12,-0.016,24,-0.032,24,-0.029,18,0.003,20,-0.022,12,0.234,28,-0.228,12,-0.032,12,-0.016,10,-0.027,27,-0.038,0.133333333,31,-0.278,30,-0.268,22,-0.089,24,-0.091,29,0.115,29,0.112,30,-0.074,31,-0.064,22,-0.089,24,-0.091,20,0.057,27,-0.224,29,11.5,29,0.112,25,24.2,26,-0.044,7,8,,2,13,
2017 Week 17,DAL,PHI,6,0,,N,1.65,0,0.533333333,11,0.075,11,0.079,10,0.058,13,0.036,18,0.035,15,0.011,5,0.053,6,0.054,10,0.058,13,0.036,19,0.089,3,0.071,18,0.035,15,0.011,16,0.11,20,-0.083,0.866666667,5,0.26,6,0.267,6,0.128,5,0.123,6,-0.124,3,-0.152,15,0.009,18,-0.007,6,0.128,5,0.123,3,0.395,16,-0.103,6,-12.4,3,-0.152,8,-5,2,-0.266,8,7,,13,2,
2017 Week 17,CLE,PIT,24,28,,N,7.47,16,0,32,-0.305,29,-0.252,32,-0.215,30,-0.175,19,0.045,19,0.049,27,-0.045,22,-0.028,32,-0.215,30,-0.175,32,-0.272,12,-0.05,19,0.045,19,0.049,30,0.288,1,-0.27,0.8,4,0.277,5,0.27,3,0.194,3,0.21,9,-0.064,11,-0.025,12,0.019,11,0.035,3,0.194,3,0.21,4,0.382,8,0.01,9,-6.4,11,-0.025,7,-6.6,23,-0.061,0,15,,12,3,
2017 Week 17,NO,TB,24,31,,N,1.32,-7.5,0.733333333,2,0.344,2,0.375,2,0.228,2,0.225,7,-0.119,4,-0.144,17,-0.004,16,0.007,2,0.228,2,0.225,8,0.332,1,0.141,7,-0.119,4,-0.144,5,-0.117,15,-0.123,0.266666667,22,-0.134,25,-0.153,11,0.042,15,0.031,30,0.125,30,0.127,28,-0.05,29,-0.057,11,0.042,15,0.031,10,0.279,25,-0.196,30,12.5,30,0.127,29,28.7,21,-0.081,11,4,,4,11,
2017 Week 17,JAX,TEN,10,15,,N,2.71,6,0.666666667,8,0.175,8,0.181,15,0.031,12,0.041,3,-0.157,5,-0.129,20,-0.013,14,0.011,15,0.031,12,0.041,14,0.203,13,-0.055,3,-0.157,5,-0.129,1,-0.255,30,-0.024,0.533333333,20,-0.096,22,-0.127,19,-0.017,22,-0.048,24,0.091,24,0.088,14,0.013,15,0.009,19,-0.017,22,-0.048,23,0.033,7,0.014,24,9.1,24,0.088,26,24.3,10,-0.154,10,5,,8,7,
2017 Week 16,PHI,OAK,19,10,,N,1.26,-9,0.857142857,4,0.272,3,0.296,4,0.159,4,0.18,7,-0.096,7,-0.112,12,0.017,16,0.004,4,0.159,4,0.18,2,0.447,16,-0.091,7,-0.096,7,-0.112,9,-0.018,3,-0.256,0.428571429,18,-0.081,19,-0.078,10,0.075,11,0.056,32,0.149,31,0.116,17,-0.007,20,-0.018,10,0.075,11,0.056,13,0.233,10,-0.02,32,14.9,31,0.116,32,32.6,24,-0.071,12,2,,6,8,
2017 Week 16,HOU,PIT,6,34,,N,4.46,10,0.285714286,23,-0.134,29,-0.232,22,-0.077,25,-0.11,17,0.017,22,0.073,26,-0.041,28,-0.049,22,-0.077,25,-0.11,19,0.09,21,-0.176,17,0.017,22,0.073,19,0.16,6,-0.177,0.785714286,6,0.223,8,0.201,3,0.179,3,0.188,12,-0.036,14,0.01,15,0.009,11,0.023,3,0.179,3,0.188,5,0.372,9,-0.011,12,-3.6,14,0.01,11,-0.9,23,-0.073,4,10,,11,3,
2017 Week 16,ARI,NYG,23,0,,N,1.51,-4.5,0.428571429,21,-0.108,17,-0.051,29,-0.19,31,-0.185,4,-0.144,2,-0.18,29,-0.062,27,-0.046,29,-0.19,31,-0.185,28,-0.072,32,-0.289,4,-0.144,2,-0.18,6,-0.082,4,-0.235,0.142857143,30,-0.264,31,-0.255,21,-0.075,23,-0.072,28,0.114,30,0.115,30,-0.074,31,-0.069,21,-0.075,23,-0.072,20,0.077,27,-0.208,28,11.4,30,0.115,25,24.1,28,-0.043,6,8,,2,12,
2017 Week 16,DAL,SEA,12,21,,N,1.5,-4.5,0.571428571,11,0.104,10,0.104,11,0.072,13,0.053,18,0.032,15,0.019,3,0.064,3,0.07,11,0.072,13,0.053,17,0.124,3,0.066,18,0.032,15,0.019,17,0.098,22,-0.076,0.571428571,16,0.004,15,0.006,17,0.019,15,0.042,13,-0.019,12,-0.014,23,-0.035,29,-0.05,17,0.019,15,0.042,10,0.262,30,-0.255,13,-1.9,12,-0.014,15,8.1,12,-0.147,8,6,,8,6,
2017 Week 16,SF,JAX,44,33,,N,2.75,4.5,0.285714286,27,-0.202,24,-0.163,24,-0.111,22,-0.071,29,0.114,29,0.11,11,0.023,13,0.017,24,-0.111,22,-0.071,22,0.033,22,-0.176,29,0.114,29,0.11,29,0.286,19,-0.086,0.714285714,7,0.219,7,0.227,15,0.031,16,0.027,1,-0.2,1,-0.185,19,-0.011,14,0.015,15,0.031,16,0.027,15,0.187,13,-0.048,1,-20,1,-0.185,1,-31.1,27,-0.045,4,10,,10,4,
2017 Week 16,CAR,TB,22,19,,N,1.25,-10,0.714285714,9,0.161,9,0.19,13,0.041,10,0.087,8,-0.085,9,-0.063,7,0.036,8,0.04,13,0.041,10,0.087,16,0.167,12,-0.041,8,-0.085,9,-0.063,8,-0.046,9,-0.156,0.285714286,22,-0.126,21,-0.142,14,0.035,17,0.019,30,0.124,32,0.12,24,-0.037,25,-0.041,14,0.035,17,0.019,11,0.256,25,-0.194,30,12.4,32,0.12,30,29.7,18,-0.098,10,4,,4,10,
