Date,Team,Opponent, Score,Opponent Score,Home,Playoff Game?, Odds Open, Line Open,Win %,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense,Opponent Win %,Opponent Total DVOA Rank,Opponent Total DVOA,Opponent Weighted DVOA Rank,Opponent Weighted DVOA,Opponent Offense DVOA Rank,Opponent Offense DVOA,Opponent Offense Weighted DVOA Rank,Opponent Offense Weighted DVOA,Opponent Defense DVOA Rank,Opponent Defense DVOA,Opponent Defense Weighted DVOA Rank,Opponent Defense Weighted DVOA,Opponent Special Teams DVOA Rank,Opponent Special Teams DVOA,Opponent Special Teams Weighted DVOA Rank,Opponent Special Teams Weighted DVOA,Opponent OffenseDVOA Rank,Opponent OffenseDVOA,Opponent Offense WeightedDVOA Rank,Opponent Offense WeightedDVOA,Opponent PassOffense Rank,Opponent PassOffense,Opponent RushOffense Rank,Opponent RushOffense,Opponent DefenseDVOA Rank,Opponent DefenseDVOA,Opponent Defense WeightedDVOA Rank,Opponent Defense WeightedDVOA,Opponent PassDefense Rank,Opponent PassDefense,Opponent RushDefense Rank,Opponent RushDefense,Wins,Losses,Ties,Opponent Wins,Opponent Losses,Opponent Ties
2020 playoffs,WAS,TB,23,31,,Y,3.9,7.5,0.4375,16,-0.023,13,0.036,32,-0.218,32,-0.207,3,-0.183,3,-0.21,15,0.011,7,0.034,32,-0.218,32,-0.207,32,-0.267,14,-0.06,3,-0.183,3,-0.21,2,-0.18,11,-0.188,0.6875,2,0.316,3,0.336,3,0.198,2,0.246,5,-0.146,6,-0.12,26,-0.029,26,-0.03,3,0.198,2,0.246,5,0.371,10,-0.02,5,-14.6,6,-0.12,5,-5.4,1,-0.314,7,9,,11,5,
2020 playoffs,SEA,LAR,20,30,,Y,1.47,-4.5,0.75,5,0.201,5,0.22,6,0.137,6,0.096,16,0.004,11,-0.052,3,0.068,3,0.073,6,0.137,6,0.096,6,0.304,9,-0.014,16,0.004,11,-0.052,20,0.123,7,-0.201,0.625,9,0.154,8,0.142,10,0.044,17,-0.048,4,-0.17,1,-0.242,30,-0.059,29,-0.052,10,0.044,17,-0.048,20,0.124,4,0.035,4,-17,1,-0.242,4,-12,3,-0.241,12,4,,10,6,
2020 playoffs,BUF,IND,27,24,,Y,1.32,-6.5,0.8125,4,0.238,1,0.345,5,0.156,5,0.178,12,-0.023,8,-0.08,4,0.059,2,0.087,5,0.156,5,0.178,3,0.433,22,-0.15,12,-0.023,8,-0.08,12,0.022,17,-0.082,0.6875,10,0.143,9,0.135,12,0.028,10,0.065,7,-0.095,10,-0.06,10,0.02,15,0.01,12,0.028,10,0.065,16,0.143,12,-0.054,7,-9.5,10,-0.06,8,-2.9,9,-0.197,13,3,,11,5,
2020 playoffs,KC,TB,9,31,,Y,1.57,-3.5,0.875,6,0.195,6,0.194,2,0.239,3,0.234,22,0.049,24,0.067,17,0.005,11,0.026,2,0.239,3,0.234,2,0.49,13,-0.056,22,0.049,24,0.067,16,0.067,31,0.026,0.6875,2,0.316,3,0.336,3,0.198,2,0.246,5,-0.146,6,-0.12,26,-0.029,26,-0.03,3,0.198,2,0.246,5,0.371,10,-0.02,5,-14.6,6,-0.12,5,-5.4,1,-0.314,14,2,,11,5,
2020 playoffs,BUF,KC,24,38,,Y,2.3,2.5,0.8125,4,0.238,1,0.345,5,0.156,5,0.178,12,-0.023,8,-0.08,4,0.059,2,0.087,5,0.156,5,0.178,3,0.433,22,-0.15,12,-0.023,8,-0.08,12,0.022,17,-0.082,0.875,6,0.195,6,0.194,2,0.239,3,0.234,22,0.049,24,0.067,17,0.005,11,0.026,2,0.239,3,0.234,2,0.49,13,-0.056,22,4.9,24,0.067,16,6.7,31,0.026,13,3,,14,2,
2020 playoffs,TB,GB,31,26,,Y,2.7,4,0.6875,2,0.316,3,0.336,3,0.198,2,0.246,5,-0.146,6,-0.12,26,-0.029,26,-0.03,3,0.198,2,0.246,5,0.371,10,-0.02,5,-0.146,6,-0.12,5,-0.054,1,-0.314,0.8125,3,0.259,4,0.314,1,0.291,1,0.316,17,0.005,14,-0.035,25,-0.027,28,-0.038,1,0.291,1,0.316,1,0.52,5,0.03,17,0.5,14,-0.035,15,5.1,18,-0.057,11,5,,13,3,
2020 playoffs,TB,NO,30,20,,Y,2.67,3.5,0.6875,2,0.316,3,0.336,3,0.198,2,0.246,5,-0.146,6,-0.12,26,-0.029,26,-0.03,3,0.198,2,0.246,5,0.371,10,-0.02,5,-0.146,6,-0.12,5,-0.054,1,-0.314,0.75,1,0.333,2,0.343,7,0.107,7,0.094,2,-0.19,2,-0.217,5,0.036,8,0.032,7,0.107,7,0.094,12,0.166,1,0.095,2,-19,2,-0.217,3,-14.7,2,-0.256,11,5,,12,4,
2020 playoffs,CLE,KC,17,22,,Y,4.75,10,0.6875,18,-0.056,18,-0.007,9,0.054,8,0.082,25,0.074,25,0.07,27,-0.037,23,-0.019,9,0.054,8,0.082,10,0.209,7,-0.008,25,0.074,25,0.07,25,0.164,19,-0.054,0.875,6,0.195,6,0.194,2,0.239,3,0.234,22,0.049,24,0.067,17,0.005,11,0.026,2,0.239,3,0.234,2,0.49,13,-0.056,22,4.9,24,0.067,16,6.7,31,0.026,11,5,,14,2,
2020 playoffs,BAL,BUF,3,17,,Y,2.3,3,0.6875,7,0.186,7,0.157,11,0.043,9,0.072,9,-0.069,15,-0.026,2,0.074,4,0.059,11,0.043,9,0.072,17,0.14,3,0.06,9,-0.069,15,-0.026,10,0.004,12,-0.185,0.8125,4,0.238,1,0.345,5,0.156,5,0.178,12,-0.023,8,-0.08,4,0.059,2,0.087,5,0.156,5,0.178,3,0.433,22,-0.15,12,-2.3,8,-0.08,12,2.2,17,-0.082,11,5,,13,3,
2020 playoffs,LAR,GB,18,32,,Y,3.7,7,0.625,9,0.154,8,0.142,10,0.044,17,-0.048,4,-0.17,1,-0.242,30,-0.059,29,-0.052,10,0.044,17,-0.048,20,0.124,4,0.035,4,-0.17,1,-0.242,4,-0.12,3,-0.241,0.8125,3,0.259,4,0.314,1,0.291,1,0.316,17,0.005,14,-0.035,25,-0.027,28,-0.038,1,0.291,1,0.316,1,0.52,5,0.03,17,0.5,14,-0.035,15,5.1,18,-0.057,10,6,,13,3,
