Date,Team,Opponent, Score,Opponent Score,Home,Playoff Game?, Odds Open, Line Open,Win %,Total DVOA,Weighted DVOA,Offense DVOA,Offense Weighted DVOA,Defense DVOA,Defense Weighted DVOA,Special Teams DVOA,Special Teams Weighted DVOA,OffenseDVOA,Offense WeightedDVOA,PassOffense,RushOffense,DefenseDVOA,Defense WeightedDVOA,PassDefense,RushDefense,Opponent Win %,Opponent Total DVOA,Opponent Weighted DVOA,Opponent Offense DVOA,Opponent Offense Weighted DVOA,Opponent Defense DVOA,Opponent Defense Weighted DVOA,Opponent Special Teams DVOA,Opponent Special Teams Weighted DVOA,Opponent OffenseDVOA,Opponent Offense WeightedDVOA,Opponent PassOffense,Opponent RushOffense,Opponent DefenseDVOA,Opponent Defense WeightedDVOA,Opponent PassDefense,Opponent RushDefense,Wins,Losses,Ties,Opponent Wins,Opponent Losses,Opponent Ties,Cover?
2019 Week 15,CHI,GB,13,21,N,N,2.8,4.5,0.538461538,-0.008,-0.003,-0.085,-0.076,-0.06,-0.065,0.017,0.009,-0.085,-0.076,0.068,-0.204,-0.06,-0.065,0.007,-0.156,0.769230769,0.065,0.028,0.108,0.104,0.046,0.082,0.003,0.007,0.108,0.104,0.319,0.011,4.6,0.082,7.1,0.015,7,6,,10,3,,No
2019 Week 15,DEN,KC,3,23,N,N,5,11.5,0.384615385,-0.084,-0.071,-0.1,-0.103,-0.038,-0.041,-0.022,-0.008,-0.1,-0.103,-0.067,-0.073,-0.038,-0.041,0.049,-0.142,0.692307692,0.263,0.259,0.212,0.19,-0.024,-0.028,0.028,0.041,0.212,0.19,0.457,-0.129,-2.4,-0.028,-5,0.011,5,8,,9,4,,No
2019 Week 15,MIA,NYG,20,36,N,N,2.65,3.5,0.230769231,-0.452,-0.377,-0.201,-0.155,0.246,0.223,-0.005,0.001,-0.201,-0.155,-0.052,-0.425,0.246,0.223,0.46,0.015,0.153846154,-0.223,-0.23,-0.138,-0.16,0.097,0.086,0.012,0.016,-0.138,-0.16,-0.083,-0.163,9.7,0.086,29,-0.148,3,10,,2,11,,No
2019 Week 15,HOU,TEN,24,21,N,N,2.45,3,0.615384615,-0.008,-0.034,0.042,0.034,0.065,0.088,0.015,0.02,0.042,0.034,0.263,-0.087,0.065,0.088,0.205,-0.165,0.615384615,0.019,0.074,0.068,0.131,0.017,0.028,-0.031,-0.028,0.068,0.131,0.293,-0.066,1.7,0.028,14.9,-0.19,8,5,,8,5,,Yes
2019 Week 15,PHI,WAS,37,27,N,N,1.35,-6,0.461538462,0.017,0.022,0.009,0,-0.014,-0.027,-0.006,-0.006,0.009,0,0.111,-0.051,-0.014,-0.027,0.085,-0.176,0.230769231,-0.299,-0.31,-0.263,-0.3,0.048,0.027,0.012,0.016,-0.263,-0.3,-0.212,-0.2,4.8,0.027,14.8,-0.063,6,7,,3,10,,Yes
2019 Week 15,NYJ,BAL,21,42,N,N,6.75,14.5,0.384615385,-0.222,-0.195,-0.274,-0.25,-0.021,-0.017,0.03,0.038,-0.274,-0.25,-0.234,-0.258,-0.021,-0.017,0.171,-0.326,0.846153846,0.415,0.479,0.268,0.291,-0.119,-0.168,0.027,0.019,0.268,0.291,0.484,0.169,-11.9,-0.168,-14.3,-0.081,5,8,,11,2,,No
2019 Week 14,PHI,NYG,23,17,Y,N,1.27,-8.5,0.416666667,0.036,0.027,0.024,0.005,-0.023,-0.037,-0.01,-0.014,0.024,0.005,0.13,-0.047,-0.023,-0.037,0.077,-0.187,0.166666667,-0.228,-0.246,-0.133,-0.158,0.102,0.097,0.007,0.009,-0.133,-0.158,-0.063,-0.19,10.2,0.097,30.1,-0.149,5,7,,2,10,,No
2019 Week 14,LAR,SEA,28,12,Y,N,2.2,2.5,0.583333333,0.042,0.024,-0.038,-0.069,-0.08,-0.094,0,-0.001,-0.038,-0.069,0.081,-0.057,-0.08,-0.094,0.015,-0.207,0.833333333,0.194,0.208,0.215,0.206,-0.001,-0.022,-0.023,-0.02,0.215,0.206,0.535,-0.036,-0.1,-0.022,7.6,-0.14,7,5,,10,2,,Yes
2019 Week 14,ARI,PIT,17,23,Y,N,2.1,2.5,0.272727273,-0.095,-0.069,0.009,0.03,0.095,0.093,-0.009,-0.006,0.009,0.03,0.015,0.084,0.095,0.093,0.243,-0.143,0.583333333,-0.004,-0.009,-0.165,-0.208,-0.147,-0.176,0.015,0.023,-0.165,-0.208,-0.028,-0.216,-14.7,-0.176,-12.3,-0.177,3,8,1,7,5,,No
2019 Week 14,NE,KC,16,23,Y,N,1.66,-3.5,0.833333333,0.378,0.329,0.055,0.032,-0.324,-0.292,-0.002,0.004,0.055,0.032,0.17,-0.035,-0.324,-0.292,-0.424,-0.173,0.666666667,0.256,0.254,0.229,0.209,-0.011,-0.02,0.015,0.025,0.229,0.209,0.481,-0.125,-1.1,-0.02,-3.9,0.026,10,2,,8,4,,No
